location	GBDR7	Testing20	Incidence20	Mortality20	Vaccination20	Testing21	Incidence21	Mortality21	Vaccination21	max20_21_tests	max20_21_cases	max20_21_deaths	max20_21_peopleVaccinated	Age	GE	VA	PS	RQ	RL	CC	LEB	EYS	MYS	GNI	Gini	UP	CHE	MMR	FLB	ABR	SSP	PSE	EP	VE	Population	PD	AAG	GDP	GI	HDI	log_GDP	log_PD	log_GNI	log_MMR	GI_10
Bosnia and Herzegovina	Central Europe, Eastern Europe, and Central Asia	15761	3400.839416	124.1014519		29687	5525.670768	287.792799	27046.18014	45449.75132	8926.510184	411.8942509	27046.18014	42.5	-0.98	-0.32	-0.51	-0.23	-0.31	-0.6	77.4	13.8	9.8	14.872	33	48.6	8.931667	10	35.387	9.6	21.1	74	46.395	16.154	3263459	68.496	-0.4	14894.78662	0.149	0.78	4.17303428597199	1.83566521049023	1.17236937676384	1	1.49
Bulgaria	Central Europe, Eastern Europe, and Central Asia	16668	2932.813081	109.850355	66.81499945	90911	7900.090696	338.9904236	27542.84505	107579.631	10832.90378	448.8407786	27609.66005	44.7	-0.07	0.26	0.47	0.52	-0.09	-0.27	75.1	14.4	11.4	23.325	40.4	75.3	8.095603	10	49.239	39.9	25.8	94.4	55.367	7.794	6896655	65.18	0.3	23091.34214	0.206	0.816	4.36344917618509	1.81411435612913	1.36782165241854	1	2.06
New Zealand	High-Income	27424	42.17466789	0.487681174		81370	233.2286444	0.50718842	77524.19874	108794.7643	275.4033123	0.994869594	77524.19874	37.9	1.59	1.6	1.49	1.88	1.88	2.15	82.3	18.8	12.8	40.799	33	86.6	9.170055	9	64.772	19.3	40.8	97.4	69.908	12.087	4860642	18.206	1.8	42887.51817	0.123	0.931	4.63233091506024	1.26021453839517	1.61064951848684	0.954242509439325	1.23
Australia	High-Income	43665	110.2247589	3.524865639		169450	1539.73809	5.211682529	79277.85779	213116.5718	1649.962849	8.736548168	79277.85779	37.9	1.62	1.3	0.85	1.82	1.65	1.67	83.4	22	12.7	48.085	34.4	86.1	9.205948	6	60.3	11.7	36.6	91	65.518	10.634	25788217	3.202	1.6	49756.30671	0.097	0.944	4.69684813625279	0.505421327583281	1.68200962038212	0.778151250383644	0.97
Iceland	High-Income	65471	1560.229072	7.863511139	1321.883338	164600	5776.969132	2.169244452	76836.26543	230072.507	7337.198204	10.03275559	78158.14877	37.3	1.52	1.39	1.39	1.45	1.8	1.7	83	19.1	12.8	54.682	26.8	93.9	8.326291	4	70.846	6.3	38.1	100	75.033	8.108	343360	3.404	1.6	55873.95057	0.058	0.949	4.74720937925519	0.53198955141255	1.73784439055342	0.602059991327962	0.58
South Korea	High-Income	9373	120.3952412	1.787343751		78967	1117.789579	9.176460609	86236.42203	88341.74925	1238.18482	10.96380436	86236.42203	43.4	1.42	0.82	0.56	1.03	1.18	0.73	83	16.5	12.2	43.044	31.6	81.4	7.603864	89	52.892	1.4	16.7	80.4	62.97	19.041	51305184	527.967	0.9	42661.17226	0.064	0.916	4.63003278498717	2.72260677828043	1.63391262272359	1.94939000664491	0.64
Japan	High-Income	3559	187.0269824	2.77031174		18648	1187.25708	11.81825143	79654.30936	22207.74155	1374.284062	14.58856317	79654.30936	48.2	1.6	0.99	1.04	1.35	1.53	1.5	84.6	15.2	12.9	42.932	32.9	91.7	10.935933	5	52.738	3.8	14.5	95.3	61.726	8.307	126050796	347.778	1.3	41429.28753	0.094	0.919	4.61730746468979	2.5413021056115	1.63278112068842	0.698970004336019	0.94
Norway	High-Income	50079	906.885557	7.97712395	44.07543944	119286	6306.538552	15.89935943	78400.5464	169365.2826	7213.424109	23.87648338	78444.62184	39.7	1.94	1.73	1.25	1.7	1.98	2.1	82.4	18.1	12.9	66.494	27	82.6	10.446342	2	60.37	5.1	40.8	95.4	63.804	4.906	5465629	14.462	1.8	63633.10196	0.045	0.957	4.80368309455911	1.16022835719786	1.82278245907075	0.301029995663981	0.45
Finland	High-Income	45153	656.4461108	10.66981763		112374	4224.797197	20.22218814	77054.52115	157527.3491	4881.243308	30.89200577	77054.52115	42.8	1.95	1.62	0.94	1.85	2.08	2.2	81.9	19.4	12.8	48.511	27.4	85.4	9.206939	3	55.542	5.8	47	100	59.081	9.585	5548361	18.136	1.7	48621.08854	0.047	0.938	4.6868246776999	1.25854150711846	1.68584022721328	0.477121254719662	0.47
Denmark	High-Income	181312	2812.153919	22.328102	551.4077886	740190	10990.62117	33.8705954	82058.42394	921502.5127	13802.77508	56.1986974	82609.83173	42.3	1.89	1.52	0.94	1.79	1.86	2.27	80.9	18.9	12.6	58.662	28.7	88	10.108279	4	58.248	4.1	39.1	91.2	62.218	4.895	5813302	136.52	1.7	57184.19345	0.038	0.94	4.75727600001493	2.1351962796066	1.76835686556845	0.602059991327962	0.38
